DEP Open Series 4 Race 1,Football Stadium,126,101.647,TFFYCryson,Germany,TBSSpec,2021/04/14
DEP Open Series 4 Race 2,Football Stadium,73,104.663,TFFYCryson,Germany,TBSSpec,2021/04/14
DEP Open Series 4 Race 3,Football Stadium,137,89.607,TFFYCryson,Germany,TBSSpec,2021/04/27
DEP Open Series 4 Race 4,Football Stadium,999,999.999,TFFYCryson,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,999,999.999,TFFYCryson,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,51,68.522,TFFYCryson,Germany,Five33Switchback,2021/05/19
DEP Open Series 4 Race 7,Football Stadium,86,74.397,TFFYCryson,Germany,Five33Switchback,2021/05/26
DEP Open Series 6 Race 1,Football Stadium,79,86.996,TFFYCryson,Germany,Five33Switchback,2022/03/10
DEP Open Series 6 Race 2,Football Stadium,2,71.990,TFFYCryson,Germany,Five33Switchback,2022/03/10
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,23,72.660,TFFYCryson,Germany,TBSSpec,2022/02/17
TBS EU Spec Series 10 Losers Final,Football Stadium,16,52.252,TFFYCryson,Germany,TBSSpec,2022/02/17
TBS EU Spec Series 10 Race 1,Football Stadium,999,999.999,TFFYCryson,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,33,63.377,TFFYCryson,Germany,TBSSpec,2021/12/09
TBS EU Spec Series 10 Race 3,Night Factory 2,24,65.952,TFFYCryson,Germany,TBSSpec,2021/12/16
TBS EU Spec Series 10 Race 4,Dynamic Weather,999,999.999,TFFYCryson,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,23,55.743,TFFYCryson,Germany,TBSSpec,2022/01/20
TBS EU Spec Series 10 Race 6,Large Carpark,173,94.916,TFFYCryson,Germany,Five33Switchback,2022/03/16
TBS EU Spec Series 10 Race 7,Football Stadium,18,66.933,TFFYCryson,Germany,TBSSpec,2022/02/03
TBS EU Spec Series 8 Final,Dynamic Weather,44,78.842,TFFYCryson,Germany,TBSSpec,2021/07/01
TBS EU Spec Series 8 Losers Final,Dynamic Weather,999,999.999,TFFYCryson,NO_DATA
TBS EU Spec Series 8 Race 1,Dynamic Weather,104,84.684,TFFYCryson,Germany,TBSSpec,2021/03/23
TBS EU Spec Series 8 Race 2,Empty Scene Night,64,79.573,TFFYCryson,Germany,TBSSpec,2021/03/25
TBS EU Spec Series 8 Race 3,Football Stadium,72,64.186,TFFYCryson,Germany,TBSSpec,2021/04/22
TBS EU Spec Series 8 Race 4,Empty Scene Day,88,82.482,TFFYCryson,Germany,TBSSpec,2021/05/06
TBS EU Spec Series 8 Race 5,Future Hangar Empty,50,59.532,TFFYCryson,Germany,TBSSpec,2021/05/20
TBS EU Spec Series 8 Race 6,Football Stadium,82,70.486,TFFYCryson,Germany,TBSSpec,2021/11/10
TBS EU Spec Series 8 Race 7,Empty Scene Day,51,73.305,TFFYCryson,Germany,TBSSpec,2021/09/07
VRL Season 8 Championships,Dynamic Weather,16,70.374,TFFYCryson,Germany,Five33Switchback,2022/02/05
VRL Season 8 Track 1,Office Complex,37,121.341,TFFYCryson,Germany,Five33Switchback,2021/11/02
VRL Season 8 Track 2,Drift Track,66,100.167,TFFYCryson,Germany,Five33Switchback,2021/11/19
VRL Season 8 Track 3,Night Factory 2,29,99.949,TFFYCryson,Germany,Five33Switchback,2021/12/04
VRL Season 8 Track 4,DynamicPoly,11,103.020,TFFYCryson,Germany,Five33Switchback,2021/12/11
VRL Season 8 Track 5,Dynamic Weather,14,92.159,TFFYCryson,Germany,Five33Switchback,2021/12/18
VRL Season 8 Track 6,Night Factory 2,9,96.015,TFFYCryson,Germany,Five33Switchback,2022/01/15
VRL SEASON 8 TRACK 7,Dynamic Weather,19,73.450,TFFYCryson,Germany,Five33Switchback,2022/01/22
VRL SEASON 8 TRYOUTS,RedValley,999,999.999,TFFYCryson,NO_DATA
