EU Spec Season 4 Race 1,Football Stadium,2,72.304,BrieflyFlying,Portugal,Five33Switchback,2020/05/22
RCTech.de EU Spec Series 2 Final,Empty Scene Day,31,68.491,BrieflyFlying,Portugal,TBSSpec,2020/04/08
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,28,66.321,BrieflyFlying,Portugal,TBSSpec,2020/04/05
RCTech.de EU Spec Series 2 Race 1,Football Stadium,66,61.154,BrieflyFlying,Portugal,TBSSpec,2020/04/11
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,9,56.328,BrieflyFlying,Portugal,TBSSpec,2020/04/11
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,13,58.773,BrieflyFlying,Portugal,TBSSpec,2020/05/20
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,26,67.262,BrieflyFlying,Portugal,TBSSpec,2020/05/02
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,14,64.759,BrieflyFlying,Portugal,TBSSpec,2020/04/11
RCTech_de EU Spec Series 3 Final,Empty Scene Day,13,67.903,BrieflyFlying,Portugal,TBSSpec,2020/04/28
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,25,58.518,BrieflyFlying,Portugal,TBSSpec,2020/05/13
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,18,66.884,BrieflyFlying,Portugal,TBSSpec,2020/04/08
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,8,68.518,BrieflyFlying,Portugal,TBSSpec,2020/04/30
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,3,82.757,BrieflyFlying,Portugal,Five33Switchback,2020/04/07
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,13,69.267,BrieflyFlying,Portugal,TBSSpec,2020/04/09
TBS EU Spec Season 5 Race 1,Football Stadium,81,63.473,BrieflyFlying,Portugal,TBSSpec,2020/07/16
TBS EU Spec Series 4 FINAL,Dynamic Weather,38,82.202,BrieflyFlying,Portugal,TBSSpec,2020/06/25
TBS EU Spec Series 4 Race 2,Empty Scene Day,31,64.471,BrieflyFlying,Portugal,TBSSpec,2020/05/14
TBS EU Spec Series 4 Race 3,IndoorGoKart,8,89.509,BrieflyFlying,Portugal,TBSSpec,2020/05/21
TBS EU Spec Series 4 Race 4,Empty Scene Day,22,77.841,BrieflyFlying,Portugal,TBSSpec,2020/05/28
TBS EU Spec Series 4 Race 5,Dynamic Weather,26,83.868,BrieflyFlying,Portugal,TBSSpec,2020/06/04
TBS EU Spec Series 4 Race 7,Football Stadium,34,69.431,BrieflyFlying,Portugal,TBSSpec,2020/06/22
TBS EU Spec Series 5 FINAL,Dynamic Weather,20,77.125,BrieflyFlying,Portugal,TBSSpec,2020/09/11
TBS EU Spec Series 5 Losers Final,Dynamic Weather,15,72.143,BrieflyFlying,Portugal,TBSSpec,2020/09/10
TBS EU Spec Series 5 Race 3,Dynamic Weather,17,69.240,BrieflyFlying,Portugal,TBSSpec,2020/07/23
TBS EU Spec Series 5 Race 4,Football Stadium,21,75.557,BrieflyFlying,Portugal,TBSSpec,2020/07/30
TBS EU Spec Series 5 Race 5,NEC Birmingham,10,65.009,BrieflyFlying,Portugal,TBSSpec,2020/08/13
TBS EU Spec Series 5 Race 6,Dynamic Weather,15,62.276,BrieflyFlying,Portugal,TBSSpec,2020/08/20
TBS EU Spec Series 5 Race 7,IndoorGoKart,23,71.792,BrieflyFlying,Portugal,TBSSpec,2020/08/27
TBS EU Spec Series 6 Final,Empty Scene Day,51,83.464,BrieflyFlying,Portugal,TBSSpec,2020/12/03
TBS EU Spec Series 6 Losers Final,Football Stadium,999,999.999,BrieflyFlying,NO_DATA
TBS EU Spec Series 6 Race 1,Future Hangar Empty,38,69.831,BrieflyFlying,Portugal,TBSSpec,2020/09/24
TBS EU Spec Series 6 Race 2,Empty Scene Day,86,74.489,BrieflyFlying,Portugal,TBSSpec,2020/10/01
TBS EU Spec Series 6 Race 4,NEC Birmingham,14,60.781,BrieflyFlying,Portugal,TBSSpec,2020/11/01
TBS EU Spec Series 6 Race 5,Dynamic Weather,17,75.952,BrieflyFlying,Portugal,TBSSpec,2020/11/05
TBS EU Spec Series 6 Race 6,Empty Scene Day,999,999.999,BrieflyFlying,NO_DATA
TBS EU Spec Series 6 Race 7,Empty Scene Day,999,999.999,BrieflyFlying,NO_DATA
