2022 Freedom Spec Champioship,Dynamic Weather,999.999,PacoFPVQERacingTeam,NO_DATA
2022 MultiGP Canadian Series by DCH FPV,Countryside,999.999,PacoFPVQERacingTeam,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,87.354,PacoFPVQERacingTeam,Canada,BMSJS-1,2022/06/07
2022 MultiGP IO Intermediate,Dynamic Weather,55.988,PacoFPVQERacingTeam,Canada,BMSJS-1,2022/06/07
2022 MultiGP IO Team,Dynamic Weather,75.601,PacoFPVQERacingTeam,Canada,Five33Switchback,2022/10/12
2022 MultiGP IO World Cup,Dynamic Weather,62.809,PacoFPVQERacingTeam,Canada,Five33Switchback,2022/10/12
DEP Open Series 5 Race 1,Football Stadium,58.554,PacoFPVQERacingTeam,Canada,TBSSpec,2021/11/01
DEP Open Series 5 Race 2,Football Stadium,73.566,PacoFPVQERacingTeam,Canada,Chief,2021/11/08
DEP Open Series 5 Race 3,Football Stadium,999.999,PacoFPVQERacingTeam,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,86.051,PacoFPVQERacingTeam,Canada,Chief,2021/11/27
DEP Open Series 5 Race 5,Football Stadium,999.999,PacoFPVQERacingTeam,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,90.354,PacoFPVQERacingTeam,Canada,TwigXL3,2021/12/20
DEP Open Series 5 Race 7,Football Stadium,95.876,PacoFPVQERacingTeam,Canada,Chief,2021/12/30
DEP Open Series 6 Race 1,Football Stadium,67.846,PacoFPVQERacingTeam,Canada,Chief,2022/03/05
DEP Open Series 6 Race 2,Football Stadium,190.480,PacoFPVQERacingTeam,Canada,TBSSpec,2022/03/17
EU Spec Season 4 Race 1,Football Stadium,95.374,PacoFPVQERacingTeam,Canada,TBSSpec,2020/05/05
Mayhem 22 by SFPV,Empty Scene Day,102.761,PacoFPVQERacingTeam,Canada,Chief,2022/03/27
MGP Ice Rink Race 2022,Empty Scene Day,57.761,PacoFPVQERacingTeam,Canada,TwigXL3,2022/05/03
MultiGP 2022 Global Qualifier,Dynamic Weather,32.782,PacoFPVQERacingTeam,Canada,TBSSpec,2022/07/06
RCTech.de EU Spec Series 2 Final,Empty Scene Day,72.677,PacoFPVQERacingTeam,Canada,TBSSpec,2020/04/08
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,69.066,PacoFPVQERacingTeam,Canada,TBSSpec,2020/04/08
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999.999,PacoFPVQERacingTeam,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,105.225,PacoFPVQERacingTeam,Canada,TBSSpec,2020/04/06
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,77.422,PacoFPVQERacingTeam,Canada,TBSSpec,2020/04/11
TBS EU Spec Season 5 Race 1,Football Stadium,69.708,PacoFPVQERacingTeam,Canada,TBSSpec,2020/07/14
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,73.668,PacoFPVQERacingTeam,Canada,TBSSpec,2022/02/19
TBS EU Spec Series 10 Losers Final,Football Stadium,62.482,PacoFPVQERacingTeam,Canada,DiatoneGTB339,2022/02/19
