DEP Open Series 3 Race 1,Football Stadium,999.999,FuzeFPV,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,999.999,FuzeFPV,NO_DATA
DEP Open Series 3 Race 3,Karting Track,111.857,FuzeFPV,UnitedKingdom,Five33Switchback,2021/08/25
DEP Open Series 3 Race 4,Football Stadium,79.550,FuzeFPV,UnitedKingdom,Five33Switchback,2021/07/18
DEP Open Series 3 Race 5,Football Stadium,76.366,FuzeFPV,UnitedKingdom,TBSSpec,2022/09/24
DEP Open Series 3 Race 6,Football Stadium,999.999,FuzeFPV,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,123.717,FuzeFPV,UnitedKingdom,Five33Switchback,2021/07/20
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,86.430,FuzeFPV,UnitedKingdom,TBSSpec,2022/06/25
TBS EU Spec Series 10 Losers Final,Football Stadium,65.600,FuzeFPV,UnitedKingdom,TBSSpec,2022/05/17
TBS EU Spec Series 10 Race 1,Football Stadium,68.842,FuzeFPV,UnitedKingdom,TBSSpec,2021/12/29
TBS EU Spec Series 10 Race 2,Empty Scene Day,67.507,FuzeFPV,UnitedKingdom,TBSSpec,2021/12/29
TBS EU Spec Series 10 Race 3,Night Factory 2,70.090,FuzeFPV,UnitedKingdom,TBSSpec,2021/12/29
TBS EU Spec Series 10 Race 4,Dynamic Weather,999.999,FuzeFPV,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,75.436,FuzeFPV,UnitedKingdom,TBSSpec,2022/08/14
TBS EU Spec Series 10 Race 6,Large Carpark,999.999,FuzeFPV,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,999.999,FuzeFPV,NO_DATA
TBS EU Spec Series 11 Final,Dynamic Weather,999.999,FuzeFPV,NO_DATA
TBS EU Spec Series 11 Race 1,Dynamic Weather,68.439,FuzeFPV,UnitedKingdom,TBSSpec,2022/06/04
TBS EU Spec Series 11 Race 2,Countryside,74.143,FuzeFPV,UnitedKingdom,TBSSpec,2022/06/21
TBS EU Spec Series 11 Race 3,Dynamic Weather,105.950,FuzeFPV,UnitedKingdom,TBSSpec,2022/06/27
TBS EU Spec Series 11 Race 5,Dynamic Weather,79.487,FuzeFPV,UnitedKingdom,Five33Switchback,2022/07/07
TBS EU Spec Series 11 Race 5,NEC Birmingham,77.463,FuzeFPV,UnitedKingdom,TBSSpec,2022/09/24
TBS EU Spec Series 11 Race 6,Dynamic Weather,999.999,FuzeFPV,NO_DATA
TBS EU Spec Series 11 Race 7,Dynamic Weather,125.821,FuzeFPV,UnitedKingdom,TBSSpec,2022/07/31
TBS EU Spec Series 9 Final,Dynamic Weather,999.999,FuzeFPV,NO_DATA
TBS EU Spec Series 9 Losers Final,Dynamic Weather,71.480,FuzeFPV,UnitedKingdom,TBSSpec,2021/12/30
TBS EU Spec Series 9 Race 1,Football Stadium,59.014,FuzeFPV,UnitedKingdom,TBSSpec,2022/10/10
TBS EU Spec Series 9 Race 2,Dynamic Weather,65.282,FuzeFPV,UnitedKingdom,TBSSpec,2021/12/29
TBS EU Spec Series 9 Race 3,Empty Scene Day,71.194,FuzeFPV,UnitedKingdom,TBSSpec,2021/12/29
TBS EU Spec Series 9 Race 4,Football Stadium,79.888,FuzeFPV,UnitedKingdom,TBSSpec,2022/08/04
TBS EU Spec Series 9 Race 5,Empty Scene Day,81.753,FuzeFPV,UnitedKingdom,TBSSpec,2021/12/29
TBS EU Spec Series 9 Race 6,Empty Scene Day,999.999,FuzeFPV,NO_DATA
TBS EU Spec Series 9 Race 7,NEC Birmingham,87.555,FuzeFPV,UnitedKingdom,TBSSpec,2021/12/29
