DEP Open Series 5 Race 1,Football Stadium,76.902,rafifly,France,Five33Switchback,2021/11/15
DEP Open Series 5 Race 2,Football Stadium,84.813,rafifly,France,Five33Switchback,2021/11/09
DEP Open Series 5 Race 3,Football Stadium,99.678,rafifly,France,Five33Switchback,2021/11/21
DEP Open Series 5 Race 4,Football Stadium,999.999,rafifly,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,122.298,rafifly,France,Five33Switchback,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,91.763,rafifly,France,Five33Switchback,2021/12/28
DEP Open Series 5 Race 7,Football Stadium,112.607,rafifly,France,Five33Switchback,2022/01/30
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999.999,rafifly,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999.999,rafifly,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,71.870,rafifly,France,Five33Switchback,2022/02/04
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,71.930,rafifly,France,Five33Switchback,2022/02/04
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999.999,rafifly,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,98.839,rafifly,France,Five33Switchback,2022/02/04
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,126.672,rafifly,France,Five33Switchback,2022/02/04
TBS EU Spec Series 10 Losers Final,Football Stadium,60.371,rafifly,France,Five33Switchback,2022/02/12
TBS EU Spec Series 10 Race 1,Football Stadium,90.406,rafifly,France,Five33Switchback,2022/01/06
TBS EU Spec Series 10 Race 2,Empty Scene Day,93.997,rafifly,France,Five33Switchback,2021/12/21
TBS EU Spec Series 10 Race 3,Night Factory 2,85.252,rafifly,France,Five33Switchback,2021/12/22
TBS EU Spec Series 10 Race 4,Dynamic Weather,79.327,rafifly,France,Five33Switchback,2022/02/08
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,62.142,rafifly,France,Five33Switchback,2022/02/12
TBS EU Spec Series 10 Race 6,Large Carpark,53.528,rafifly,France,Five33Switchback,2022/02/07
TBS EU Spec Series 10 Race 7,Football Stadium,73.822,rafifly,France,Five33Switchback,2022/02/07
TBS EU Spec Series 9 Final,Dynamic Weather,76.881,rafifly,France,Five33Switchback,2021/11/15
TBS EU Spec Series 9 Losers Final,Dynamic Weather,72.784,rafifly,France,Five33Switchback,2021/11/15
TBS EU Spec Series 9 Race 1,Football Stadium,86.885,rafifly,France,Five33Switchback,2021/09/16
TBS EU Spec Series 9 Race 2,Dynamic Weather,80.935,rafifly,France,TBSSpec,2021/10/17
TBS EU Spec Series 9 Race 3,Empty Scene Day,82.714,rafifly,France,TBSSpec,2021/09/30
TBS EU Spec Series 9 Race 4,Football Stadium,96.352,rafifly,France,TBSSpec,2021/10/06
TBS EU Spec Series 9 Race 5,Empty Scene Day,83.203,rafifly,France,LilBastard,2021/10/18
TBS EU Spec Series 9 Race 6,Empty Scene Day,84.014,rafifly,France,Five33Switchback,2021/11/03
TBS EU Spec Series 9 Race 7,NEC Birmingham,89.816,rafifly,France,Five33Switchback,2021/11/01
Week 10 TT - MCKPractice2,Football Stadium,68.657,rafifly,France,Five33Switchback,2022/02/10
Week 12 TT - GQ22 by Chris M,Football Stadium,42.322,rafifly,France,Five33Switchback,2022/02/11
Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day,59.750,rafifly,France,TBSSpec,2021/10/20
Week 2 TT - Ruinous by NM Grower,Dynamic Weather,110.462,rafifly,France,Five33Switchback,2021/11/02
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night,999.999,rafifly,NO_DATA
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather,206.084,rafifly,France,Five33Switchback,2021/12/22
Week 9 TT - CM17 by Chris M,Football Stadium,79.882,rafifly,France,Five33Switchback,2022/01/25
