DEP Open Pop-Up 2,Dynamic Weather,999.999,CY1314,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,999.999,CY1314,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,97.204,CY1314,China,CarbiXZero,2023/02/10
DEP Open Series 3 Race 1,Football Stadium,51.361,CY1314,China,CarbiXZero,2023/02/11
DEP Open Series 3 Race 2,Football Stadium,999.999,CY1314,NO_DATA
DEP Open Series 3 Race 3,Karting Track,999.999,CY1314,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,59.585,CY1314,China,CarbiXZero,2023/02/11
DEP Open Series 3 Race 5,Football Stadium,93.124,CY1314,China,CarbiXZero,2023/02/11
DEP Open Series 3 Race 6,Football Stadium,77.682,CY1314,China,Five33Switchback,2023/02/13
DEP Open Series 3 Race 7,Football Stadium,73.066,CY1314,China,Five33Switchback,2023/02/14
DEP Open Series 4 Race 1,Football Stadium,105.202,CY1314,China,Five33Switchback,2023/02/14
DEP Open Series 4 Race 2,Football Stadium,999.999,CY1314,NO_DATA
DEP Open Series 4 Race 3,Football Stadium,999.999,CY1314,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,999.999,CY1314,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,999.999,CY1314,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,60.219,CY1314,China,Chief,2023/03/11
DEP Open Series 4 Race 7,Football Stadium,999.999,CY1314,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,53.105,CY1314,China,Five33Switchback,2023/04/20
DEP Open Series 5 Race 2,Football Stadium,999.999,CY1314,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,999.999,CY1314,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,80.714,CY1314,China,Five33Switchback,2023/04/21
DEP Open Series 5 Race 5,Football Stadium,107.610,CY1314,China,Five33Switchback,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,65.959,CY1314,China,Five33Switchback,2023/04/11
DEP Open Series 5 Race 7,Football Stadium,101.955,CY1314,China,Five33Switchback,2023/04/14
DEP Open Series 6 Race 1,Football Stadium,73.962,CY1314,China,CarbiXZero,2022/03/11
DEP Open Series 6 Race 2,Football Stadium,93.151,CY1314,China,Five33Switchback,2022/03/18
DEP Spec Series 1 Race 5,Football Stadium,114.784,CY1314,China,Five33Switchback,2023/04/20
EU Spec Season 4 Race 1,Football Stadium,999.999,CY1314,NO_DATA
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,75.785,CY1314,China,Five33Switchback,2022/12/09
TBS EU Spec Series 10 Losers Final,Football Stadium,49.904,CY1314,China,CarbiXZero,2022/04/14
TBS EU Spec Series 10 Race 1,Football Stadium,63.355,CY1314,China,Five33Switchback,2022/12/10
TBS EU Spec Series 10 Race 2,Empty Scene Day,74.746,CY1314,China,Five33Switchback,2021/12/17
TBS EU Spec Series 10 Race 3,Night Factory 2,999.999,CY1314,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,64.854,CY1314,China,Five33Switchback,2022/01/19
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999.999,CY1314,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,999.999,CY1314,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,999.999,CY1314,NO_DATA
TBS EU Spec Series 11 Final,Dynamic Weather,83.001,CY1314,China,Five33Switchback,2022/12/01
TBS EU Spec Series 11 Race 1,Dynamic Weather,58.650,CY1314,China,Five33Switchback,2022/12/03
TBS EU Spec Series 11 Race 2,Countryside,112.557,CY1314,China,Five33Switchback,2022/12/22
TBS EU Spec Series 11 Race 3,Dynamic Weather,94.484,CY1314,China,Five33Switchback,2022/12/03
TBS EU Spec Series 11 Race 5,Dynamic Weather,90.252,CY1314,China,Five33Switchback,2022/12/01
TBS EU Spec Series 11 Race 5,NEC Birmingham,999.999,CY1314,NO_DATA
TBS EU Spec Series 11 Race 6,Dynamic Weather,999.999,CY1314,NO_DATA
TBS EU Spec Series 11 Race 7,Dynamic Weather,140.765,CY1314,China,Five33Switchback,2022/12/25
TBS EU Spec Series 4 FINAL,Dynamic Weather,77.114,CY1314,China,CarbiXZero,2022/04/17
TBS EU Spec Series 4 Race 2,Empty Scene Day,61.100,CY1314,China,CarbiXZero,2022/04/17
TBS EU Spec Series 4 Race 3,IndoorGoKart,999.999,CY1314,NO_DATA
TBS EU Spec Series 4 Race 4,Empty Scene Day,71.291,CY1314,China,CarbiXZero,2022/04/17
TBS EU Spec Series 4 Race 5,Dynamic Weather,99.912,CY1314,China,CarbiXZero,2022/04/17
TBS EU Spec Series 4 Race 7,Football Stadium,63.481,CY1314,China,CarbiXZero,2022/04/18
