RCTech.de EU Spec Series 2 Final,Empty Scene Day,76.816,OzgurJohn,Turkey,Mode2Ghost,2020/04/06
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,71.868,OzgurJohn,Turkey,Mode2Ghost,2020/04/06
RCTech.de EU Spec Series 2 Race 1,Football Stadium,63.749,OzgurJohn,Turkey,Mode2Ghost,2020/04/06
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,87.941,OzgurJohn,Turkey,CarbiXZero,2020/05/26
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,71.504,OzgurJohn,Turkey,Solleva,2020/05/12
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999.999,OzgurJohn,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,141.786,OzgurJohn,Turkey,Mode2Ghost,2020/04/06
RCTech_de EU Spec Series 3 Final,Empty Scene Day,81.868,OzgurJohn,Turkey,Solleva,2020/05/11
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,999.999,OzgurJohn,NO_DATA
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,65.250,OzgurJohn,Turkey,Solleva,2020/05/17
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,84.775,OzgurJohn,Turkey,Solleva,2020/05/17
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,104.545,OzgurJohn,Turkey,Mode2Ghost,2020/04/07
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,104.507,OzgurJohn,Turkey,Five33Switchback,2020/04/19
