DEP Open Pop-Up 2,Dynamic Weather,75.669,Deviled90,Italy,Five33Switchback,2021/06/30
DEP Open Series 2 Race 1,Dynamic Weather,999.999,Deviled90,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,100.144,Deviled90,Italy,Five33Switchback,2021/08/01
DEP Open Series 3 Race 1,Football Stadium,59.940,Deviled90,Italy,Five33Switchback,2021/02/23
DEP Open Series 3 Race 2,Football Stadium,88.989,Deviled90,Italy,Five33Switchback,2021/02/16
DEP Open Series 3 Race 3,Karting Track,999.999,Deviled90,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,72.478,Deviled90,Italy,Five33Switchback,2021/02/28
DEP Open Series 3 Race 5,Football Stadium,83.580,Deviled90,Italy,Five33Switchback,2021/03/03
DEP Open Series 3 Race 6,Football Stadium,97.098,Deviled90,Italy,Five33Switchback,2021/08/12
DEP Open Series 3 Race 7,Football Stadium,96.929,Deviled90,Italy,Five33Switchback,2021/08/13
DEP Open Series 4 Race 1,Football Stadium,78.042,Deviled90,Italy,Five33Switchback,2021/04/02
DEP Open Series 4 Race 2,Football Stadium,106.854,Deviled90,Italy,Five33Switchback,2021/04/07
DEP Open Series 4 Race 3,Football Stadium,73.530,Deviled90,Italy,Five33Switchback,2021/04/21
DEP Open Series 4 Race 4,Football Stadium,90.371,Deviled90,Italy,Five33Switchback,2021/04/21
DEP Open Series 4 Race 5,Football Stadium,68.706,Deviled90,Italy,Five33Switchback,2021/04/28
DEP Open Series 4 Race 6,Football Stadium,67.643,Deviled90,Italy,Five33Switchback,2021/08/17
DEP Open Series 4 Race 7,Football Stadium,79.734,Deviled90,Italy,Five33Switchback,2021/05/26
DEP Open Series 5 Race 1,Football Stadium,63.059,Deviled90,Italy,Five33Switchback,2021/10/26
DEP Open Series 5 Race 2,Football Stadium,77.132,Deviled90,Italy,Five33Switchback,2021/10/27
DEP Open Series 5 Race 3,Football Stadium,86.954,Deviled90,Italy,Five33Switchback,2021/11/23
DEP Open Series 5 Race 4,Football Stadium,93.984,Deviled90,Italy,Five33Switchback,2021/11/24
DEP Open Series 5 Race 5,Football Stadium,91.264,Deviled90,Italy,Five33Switchback,2021/12/04
DEP Open Series 5 Race 6,Football Stadium,79.879,Deviled90,Italy,Five33Switchback,2021/12/15
DEP Open Series 5 Race 7,Football Stadium,96.578,Deviled90,Italy,Five33Switchback,2021/12/22
DEP Spec Series 1 Race 5,Football Stadium,102.619,Deviled90,Italy,Five33Switchback,2021/01/04
EU Spec Season 4 Race 1,Football Stadium,999.999,Deviled90,NO_DATA
RCTech.de EU Spec Series 2 Final,Empty Scene Day,91.072,Deviled90,Italy,TBSSpec,2020/07/07
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,91.610,Deviled90,Italy,TBSSpec,2020/07/08
RCTech.de EU Spec Series 2 Race 1,Football Stadium,54.479,Deviled90,Italy,Five33Switchback,2021/10/01
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,113.500,Deviled90,Italy,TBSSpec,2020/05/19
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,82.218,Deviled90,Italy,TBSSpec,2021/12/09
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999.999,Deviled90,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999.999,Deviled90,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999.999,Deviled90,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,999.999,Deviled90,NO_DATA
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999.999,Deviled90,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999.999,Deviled90,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999.999,Deviled90,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,999.999,Deviled90,NO_DATA
TBS EU Spec Season 5 Race 1,Football Stadium,999.999,Deviled90,NO_DATA
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,82.030,Deviled90,Italy,TBSSpec,2022/02/17
TBS EU Spec Series 10 Losers Final,Football Stadium,57.730,Deviled90,Italy,TBSSpec,2022/02/10
TBS EU Spec Series 10 Race 1,Football Stadium,67.111,Deviled90,Italy,TBSSpec,2022/02/02
TBS EU Spec Series 10 Race 2,Empty Scene Day,57.623,Deviled90,Italy,Five33Switchback,2022/03/01
TBS EU Spec Series 10 Race 3,Night Factory 2,63.855,Deviled90,Italy,Five33Switchback,2022/01/10
TBS EU Spec Series 10 Race 4,Dynamic Weather,73.525,Deviled90,Italy,TBSSpec,2022/01/06
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999.999,Deviled90,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,40.798,Deviled90,Italy,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,73.974,Deviled90,Italy,TBSSpec,2022/02/03
TBS EU Spec Series 4 FINAL,Dynamic Weather,999.999,Deviled90,NO_DATA
TBS EU Spec Series 4 Race 2,Empty Scene Day,73.292,Deviled90,Italy,TBSSpec,2021/11/05
TBS EU Spec Series 4 Race 3,IndoorGoKart,999.999,Deviled90,NO_DATA
TBS EU Spec Series 4 Race 4,Empty Scene Day,999.999,Deviled90,NO_DATA
TBS EU Spec Series 4 Race 5,Dynamic Weather,999.999,Deviled90,NO_DATA
TBS EU Spec Series 4 Race 7,Football Stadium,90.212,Deviled90,Italy,Five33Switchback,2021/01/06
TBS EU Spec Series 5 FINAL,Dynamic Weather,999.999,Deviled90,NO_DATA
TBS EU Spec Series 5 Losers Final,Dynamic Weather,999.999,Deviled90,NO_DATA
TBS EU Spec Series 5 Race 3,Dynamic Weather,87.664,Deviled90,Italy,TBSSpec,2020/11/24
TBS EU Spec Series 5 Race 4,Football Stadium,999.999,Deviled90,NO_DATA
TBS EU Spec Series 5 Race 5,NEC Birmingham,999.999,Deviled90,NO_DATA
TBS EU Spec Series 5 Race 6,Dynamic Weather,999.999,Deviled90,NO_DATA
TBS EU Spec Series 5 Race 7,IndoorGoKart,999.999,Deviled90,NO_DATA
TBS EU Spec Series 6 Final,Empty Scene Day,999.999,Deviled90,NO_DATA
TBS EU Spec Series 6 Losers Final,Football Stadium,81.212,Deviled90,Italy,Five33Switchback,2021/01/05
TBS EU Spec Series 6 Race 1,Future Hangar Empty,70.906,Deviled90,Italy,Five33Switchback,2021/08/05
TBS EU Spec Series 6 Race 2,Empty Scene Day,78.034,Deviled90,Italy,Five33Switchback,2021/04/28
TBS EU Spec Series 6 Race 4,NEC Birmingham,999.999,Deviled90,NO_DATA
TBS EU Spec Series 6 Race 5,Dynamic Weather,92.868,Deviled90,Italy,TBSSpec,2020/11/12
TBS EU Spec Series 6 Race 6,Empty Scene Day,85.107,Deviled90,Italy,TBSSpec,2020/11/12
TBS EU Spec Series 6 Race 7,Empty Scene Day,62.292,Deviled90,Italy,Five33Switchback,2021/07/26
TBS EU Spec Series 7 Final,Empty Scene Day,83.318,Deviled90,Italy,Five33Switchback,2021/03/09
TBS EU Spec Series 7 Race 1,Football Stadium,74.934,Deviled90,Italy,Five33Switchback,2021/01/08
TBS EU Spec Series 7 Race 2,Empty Scene Day,75.009,Deviled90,Italy,Five33Switchback,2021/01/17
TBS EU Spec Series 7 Race 3,Empty Scene Day,74.875,Deviled90,Italy,Five33Switchback,2021/02/02
TBS EU Spec Series 7 Race 4,Empty Scene Day,90.180,Deviled90,Italy,TBSSpec,2021/01/28
