VRL 7 Race 4,Dynamic Weather,96.658,EMDRONES,UnitedStates,Five33Switchback,2020/12/02
VRL 7 Track 1,Future Hangar,101.816,EMDRONES,UnitedStates,Five33Switchback,2020/10/28
VRL 7 Track 2,Future Hangar Empty,105.369,EMDRONES,UnitedStates,Five33Switchback,2020/11/12
VRL 7 Track 3,Dynamic Weather,77.191,EMDRONES,UnitedStates,Five33Switchback,2020/11/16
VRL 7 Track 5,Dynamic Weather,87.856,EMDRONES,UnitedStates,Five33Switchback,2020/12/12
VRL 7 Track 6,Dynamic Weather,88.086,EMDRONES,UnitedStates,Five33Switchback,2021/01/14
VRL7 Tryouts,Future Hangar Empty,101.433,EMDRONES,UnitedStates,Five33Switchback,2020/10/23
VRL S9 FINALS,Dynamic Weather,99.595,EMDRONES,UnitedStates,Five33Switchback,2023/03/25
VRL S9 T1,Dynamic Weather,96.904,EMDRONES,UnitedStates,Five33Switchback,2023/01/21
VRL S9 T2,Dynamic Weather,999.999,EMDRONES,NO_DATA
VRL S9 T3,Dynamic Weather,82.105,EMDRONES,UnitedStates,Five33Switchback,2023/02/14
VRL S9 T4,Dynamic Weather,108.910,EMDRONES,UnitedStates,Five33Switchback,2023/02/14
VRL S9 T5,Dynamic Weather,999.999,EMDRONES,NO_DATA
VRL S9 T6,Dynamic Weather,999.999,EMDRONES,NO_DATA
VRL S9 T7,Dynamic Weather,131.627,EMDRONES,UnitedStates,Five33Switchback,2023/03/11
VRL S9 T8,Dynamic Weather,101.388,EMDRONES,UnitedStates,Five33Switchback,2023/03/18
VRL Season 7 Championships,Dynamic Weather,108.839,EMDRONES,UnitedStates,Five33Switchback,2020/12/27
VRL Season 9 Tryouts,Dynamic Weather,102.781,EMDRONES,UnitedStates,Five33Switchback,2023/01/05
