DEP Open Series 4 Race 1,Football Stadium,101.647,Cryson,Germany,TBSSpec,2021/04/14
DEP Open Series 4 Race 2,Football Stadium,104.663,Cryson,Germany,TBSSpec,2021/04/14
DEP Open Series 4 Race 3,Football Stadium,89.607,Cryson,Germany,TBSSpec,2021/04/27
DEP Open Series 4 Race 4,Football Stadium,999.999,Cryson,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,999.999,Cryson,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,68.522,Cryson,Germany,Five33Switchback,2021/05/19
DEP Open Series 4 Race 7,Football Stadium,74.397,Cryson,Germany,Five33Switchback,2021/05/26
DEP Open Series 6 Race 1,Football Stadium,86.996,Cryson,Germany,Five33Switchback,2022/03/10
DEP Open Series 6 Race 2,Football Stadium,71.990,Cryson,Germany,Five33Switchback,2022/03/10
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,72.660,Cryson,Germany,TBSSpec,2022/02/17
TBS EU Spec Series 10 Losers Final,Football Stadium,52.252,Cryson,Germany,TBSSpec,2022/02/17
TBS EU Spec Series 10 Race 1,Football Stadium,999.999,Cryson,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,63.377,Cryson,Germany,TBSSpec,2021/12/09
TBS EU Spec Series 10 Race 3,Night Factory 2,65.952,Cryson,Germany,TBSSpec,2021/12/16
TBS EU Spec Series 10 Race 4,Dynamic Weather,999.999,Cryson,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,55.743,Cryson,Germany,TBSSpec,2022/01/20
TBS EU Spec Series 10 Race 6,Large Carpark,999.999,Cryson,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,66.933,Cryson,Germany,TBSSpec,2022/02/03
TBS EU Spec Series 11 Final,Dynamic Weather,74.201,Cryson,Germany,TBSSpec,2022/08/18
TBS EU Spec Series 11 Race 1,Dynamic Weather,999.999,Cryson,NO_DATA
TBS EU Spec Series 11 Race 2,Countryside,56.331,Cryson,Germany,TBSSpec,2022/06/09
TBS EU Spec Series 11 Race 3,Dynamic Weather,999.999,Cryson,NO_DATA
TBS EU Spec Series 11 Race 5,Dynamic Weather,100.282,Cryson,Germany,TBSSpec,2022/07/07
TBS EU Spec Series 11 Race 5,NEC Birmingham,999.999,Cryson,NO_DATA
TBS EU Spec Series 11 Race 6,Dynamic Weather,54.642,Cryson,Germany,TBSSpec,2022/07/14
TBS EU Spec Series 11 Race 7,Dynamic Weather,65.604,Cryson,Germany,TBSSpec,2022/07/28
TBS EU Spec Series 8 Final,Dynamic Weather,78.842,Cryson,Germany,TBSSpec,2021/07/01
TBS EU Spec Series 8 Losers Final,Dynamic Weather,999.999,Cryson,NO_DATA
TBS EU Spec Series 8 Race 1,Dynamic Weather,84.684,Cryson,Germany,TBSSpec,2021/03/23
TBS EU Spec Series 8 Race 2,Empty Scene Night,79.573,Cryson,Germany,TBSSpec,2021/03/25
TBS EU Spec Series 8 Race 3,Football Stadium,64.186,Cryson,Germany,TBSSpec,2021/04/22
TBS EU Spec Series 8 Race 4,Empty Scene Day,82.482,Cryson,Germany,TBSSpec,2021/05/06
TBS EU Spec Series 8 Race 5,Future Hangar Empty,59.532,Cryson,Germany,TBSSpec,2021/05/20
TBS EU Spec Series 8 Race 6,Football Stadium,70.486,Cryson,Germany,TBSSpec,2021/11/10
TBS EU Spec Series 8 Race 7,Empty Scene Day,73.305,Cryson,Germany,TBSSpec,2021/09/07
VRL Season 8 Championships,Dynamic Weather,70.374,Cryson,Germany,Five33Switchback,2022/02/05
VRL Season 8 Track 1,Office Complex,121.341,Cryson,Germany,Five33Switchback,2021/11/02
VRL Season 8 Track 2,Drift Track,100.167,Cryson,Germany,Five33Switchback,2021/11/19
VRL Season 8 Track 3,Night Factory 2,99.949,Cryson,Germany,Five33Switchback,2021/12/04
VRL Season 8 Track 4,DynamicPoly,103.020,Cryson,Germany,Five33Switchback,2021/12/11
VRL Season 8 Track 5,Dynamic Weather,92.159,Cryson,Germany,Five33Switchback,2021/12/18
VRL Season 8 Track 6,Night Factory 2,96.015,Cryson,Germany,Five33Switchback,2022/01/15
VRL SEASON 8 TRACK 7,Dynamic Weather,73.450,Cryson,Germany,Five33Switchback,2022/01/22
VRL SEASON 8 TRYOUTS,RedValley,999.999,Cryson,NO_DATA
