DEP Open Pop-Up 2,Dynamic Weather,55.195,NotKevin,UnitedStates,Mode2Ghost,2021/07/03
DEP Open Series 2 Race 1,Dynamic Weather,999.999,NotKevin,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,84.839,NotKevin,UnitedStates,Mode2Ghost,2021/08/11
DEP Open Series 3 Race 1,Football Stadium,51.984,NotKevin,UnitedStates,Mode2Ghost,2021/05/31
DEP Open Series 3 Race 2,Football Stadium,72.334,NotKevin,UnitedStates,BMSJS-1,2021/02/22
DEP Open Series 3 Race 3,Karting Track,72.124,NotKevin,UnitedStates,Mode2Ghost,2021/06/23
DEP Open Series 3 Race 4,Football Stadium,59.622,NotKevin,UnitedStates,Five33Switchback,2021/02/27
DEP Open Series 3 Race 5,Football Stadium,78.643,NotKevin,UnitedStates,Five33Switchback,2021/03/09
DEP Open Series 3 Race 6,Football Stadium,82.502,NotKevin,UnitedStates,Mode2Ghost,2021/05/31
DEP Open Series 3 Race 7,Football Stadium,80.817,NotKevin,UnitedStates,Five33Switchback,2021/03/22
DEP Open Series 4 Race 1,Football Stadium,77.826,NotKevin,UnitedStates,Ossa,2021/04/11
DEP Open Series 4 Race 2,Football Stadium,999.999,NotKevin,NO_DATA
DEP Open Series 4 Race 3,Football Stadium,61.652,NotKevin,UnitedStates,BMSJS-1,2021/04/18
DEP Open Series 4 Race 4,Football Stadium,75.812,NotKevin,UnitedStates,Mode2Ghost,2021/04/27
DEP Open Series 4 Race 5,Football Stadium,60.300,NotKevin,UnitedStates,Mode2Ghost,2021/05/05
DEP Open Series 4 Race 6,Football Stadium,64.943,NotKevin,UnitedStates,Mode2Ghost,2021/05/25
DEP Open Series 4 Race 7,Football Stadium,63.583,NotKevin,UnitedStates,Mode2Ghost,2021/05/31
DEP Open Series 5 Race 1,Football Stadium,76.634,NotKevin,UnitedStates,CarbiXZero,2021/11/02
DEP Open Series 5 Race 2,Football Stadium,999.999,NotKevin,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,999.999,NotKevin,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,999.999,NotKevin,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999.999,NotKevin,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,64.304,NotKevin,UnitedStates,CarbiXZero,2021/12/25
DEP Open Series 5 Race 7,Football Stadium,999.999,NotKevin,NO_DATA
DEP Open Series 6 Race 1,Football Stadium,59.816,NotKevin,UnitedStates,Mode2Ghost,2022/03/10
DEP Open Series 6 Race 2,Football Stadium,101.232,NotKevin,UnitedStates,Mode2Ghost,2022/03/19
DEP Spec Series 1 Race 5,Football Stadium,105.012,NotKevin,UnitedStates,Five33Switchback,2020/10/13
TBS EU Spec Series 7 Final,Empty Scene Day,999.999,NotKevin,NO_DATA
TBS EU Spec Series 7 Race 1,Football Stadium,999.999,NotKevin,NO_DATA
TBS EU Spec Series 7 Race 2,Empty Scene Day,68.234,NotKevin,UnitedStates,Mode2Ghost,2021/06/04
TBS EU Spec Series 7 Race 3,Empty Scene Day,81.650,NotKevin,UnitedStates,TBSSpec,2021/01/27
TBS EU Spec Series 7 Race 4,Empty Scene Day,61.770,NotKevin,UnitedStates,Mode2Ghost,2021/08/10
TBS EU Spec Series 7 Race 5,IndoorGoKart,68.584,NotKevin,UnitedStates,Five33Switchback,2021/02/08
TBS EU Spec Series 7 Race 6,Future Hangar Empty,69.413,NotKevin,UnitedStates,TBSSpec,2021/02/19
TBS EU Spec Series 7 Race 7,Empty Scene Day,999.999,NotKevin,NO_DATA
TBS EU Spec Series 8 Final,Dynamic Weather,64.056,NotKevin,UnitedStates,Mode2Ghost,2021/07/03
TBS EU Spec Series 8 Losers Final,Dynamic Weather,49.510,NotKevin,UnitedStates,Mode2Ghost,2021/07/04
TBS EU Spec Series 8 Race 1,Dynamic Weather,999.999,NotKevin,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,999.999,NotKevin,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,61.169,NotKevin,UnitedStates,TBSSpec,2021/07/09
TBS EU Spec Series 8 Race 4,Empty Scene Day,74.646,NotKevin,UnitedStates,TBSSpec,2021/07/09
TBS EU Spec Series 8 Race 5,Future Hangar Empty,999.999,NotKevin,NO_DATA
TBS EU Spec Series 8 Race 6,Football Stadium,999.999,NotKevin,NO_DATA
TBS EU Spec Series 8 Race 7,Empty Scene Day,67.556,NotKevin,UnitedStates,Mode2Ghost,2021/06/21
TBS EU Spec Series 9 Final,Dynamic Weather,58.413,NotKevin,UnitedStates,CarbiXZero,2021/11/15
TBS EU Spec Series 9 Losers Final,Dynamic Weather,999.999,NotKevin,NO_DATA
TBS EU Spec Series 9 Race 1,Football Stadium,56.245,NotKevin,UnitedStates,MadLite,2021/09/09
TBS EU Spec Series 9 Race 2,Dynamic Weather,49.490,NotKevin,UnitedStates,CarbiXZero,2021/10/03
TBS EU Spec Series 9 Race 3,Empty Scene Day,53.301,NotKevin,UnitedStates,CarbiXZero,2021/10/05
TBS EU Spec Series 9 Race 4,Football Stadium,60.030,NotKevin,UnitedStates,CarbiXZero,2021/10/03
TBS EU Spec Series 9 Race 5,Empty Scene Day,57.289,NotKevin,UnitedStates,CarbiXZero,2021/10/15
TBS EU Spec Series 9 Race 6,Empty Scene Day,999.999,NotKevin,NO_DATA
TBS EU Spec Series 9 Race 7,NEC Birmingham,999.999,NotKevin,NO_DATA
